Kabupaten/Kota,TOTAL,DAGING,TELUR DAN SUSU,IKAN,Daging_sapi,"Daging_kambing,_domba/biri-biri",Daging_babi,Daging_ayam_ras,Daging_ayam_kampung,Daging_segar_lainnya,Daging_diawetkan_lainnya,"Tetelan,_sandung_lamur",Daging_olahan_matang,"Lainnya_(_hati,_jeroan,_iga,_kaki,_buntut,_kepala,_dsb)",Ayam_matang,Telur_ayam_ras,Telur_ayam_kampung,Telur_itik/telur_itik_manila,"Telur_lainnya_(telur_puyuh,_telur_asin_mentah_maupun_matang,_telur_penyu,_telur_angsa,_dsb)",Susu_cair_pabrik,Susu_kental_manis,Susu_bubuk,Susu_bubuk_bayi,Susu_lainnya_dan_hasil_lain_dari_susu,Ekor_kuning,Tongkol_tuna_cakalang_dencis_ikan_kayu,Tongkol,Tuna,"Cakalang,dencis",Tenggiri,Selar,"Kembung,_lema/tatare,_banyar/banyara",Teri,Bandeng,Gabus,Mujair,"Mas,_nila",Mas,Nila,Lele,Kakap,Baronang,Patin,Bawal,Gurame,Ikan_segar/basah_lainnya,"Udang,_lobster","Cumi-cumi,_sotong,_gurita","Ketam,_kepiting,_rajungan","Kerang,_siput,_bekicot,_remis",Udang_dan_hewan_air_lainnya_yang_segar_lainnya,Kembung_diawetkan/peda,Tenggiri_diawetkan,Tongkol/tuna/cakalang_diawetkan,Teri_diawetkan,Selar_diawetkan,Sepat_diawetkan,Bandeng_diawetkan,Gabus_diawetkan,"Ikan_dalam_kaleng_(sardencis,_tuna_dalam_kaleng,_dsb)",Ikan_diawetkan_lainnya,"Udang_diawetkan_(ebi,_rebon)","Cumi-cumi,_sotong,_gurita_diawetkan",ang_dan_hewan_air_lainnya_yang_diawetkan,Ikan_matang
Subang,24464,8726,7656,8082,712,16,5,3159,430,36,0,14,1312,188,2854,4660,33,86,43,129,940,556,1003,206,5,118,0,0,0,46,76,166,25,303,42,492,2077,0,0,280,24,0,91,93,80,71,193,341,22,8,30,305,29,245,335,91,237,133,24,44,314,24,160,72,1491
Purwakarta,27560,9963,9046,8551,1228,27,0,4119,513,98,27,235,1256,180,2280,3501,78,22,79,567,1046,2428,1153,171,8,123,0,0,0,46,35,165,72,47,13,156,3013,0,0,180,48,0,71,18,157,59,357,350,0,7,47,138,18,490,816,171,362,216,207,61,241,64,213,48,542
Karawang,25742,8953,7454,9335,924,0,157,3376,450,3,25,67,1364,178,2409,3227,43,51,44,304,682,1016,2033,54,40,140,0,0,0,16,75,226,155,1142,147,936,1235,0,0,409,12,0,191,117,158,191,330,363,55,36,78,118,22,156,713,60,183,224,85,57,86,90,149,8,1372
Bekasi,39805,12964,12015,14826,1459,14,1,6004,214,30,62,170,1832,204,2974,4243,34,53,105,958,1178,2219,3043,182,177,684,0,0,0,10,23,1101,284,1155,238,1069,1520,0,0,1480,92,6,153,467,356,155,868,596,26,60,28,272,10,158,1174,40,133,192,167,100,67,63,278,35,1766
Bandung Barat,23505,9479,7170,6856,1056,5,4,5454,211,16,41,10,1106,336,1240,4274,8,33,35,437,739,595,580,470,21,85,0,0,0,4,9,211,14,99,5,164,2702,0,0,36,33,0,178,39,20,21,141,203,0,0,34,358,20,445,303,160,522,396,51,62,128,26,160,18,209
Pangandaran,27100,9553,6020,11527,904,19,0,3308,1700,24,0,33,1041,269,2255,3473,268,88,76,199,843,308,647,119,223,278,0,0,0,44,53,745,171,336,211,2332,943,0,0,137,90,0,46,189,146,1881,959,513,129,47,164,313,0,42,43,62,14,68,4,164,120,6,8,13,1256
Kota Bogor,38720,15268,11769,11683,2188,0,48,6367,288,66,285,520,1121,621,3764,4510,63,4,132,1122,1069,2689,1950,230,40,421,0,0,0,70,34,607,80,179,19,734,1417,0,0,705,30,0,89,83,319,30,840,409,0,19,52,113,4,689,1387,275,280,66,218,127,137,198,723,22,1307
Kota Sukabumi,35353,13832,12027,9494,2454,0,77,5895,519,55,238,152,1243,294,2905,5129,131,12,171,1096,774,2061,2565,88,49,255,0,0,0,10,13,373,11,82,0,165,2094,0,0,135,75,0,36,24,145,84,448,376,41,3,61,214,10,898,1231,432,452,55,305,167,152,54,381,66,646
Kota Bandung,39673,16692,11138,11843,3057,126,61,6747,315,130,466,153,1020,331,4286,4141,62,45,143,1447,809,2169,1610,712,51,364,0,0,0,113,26,865,33,460,39,615,2573,0,0,340,172,0,407,241,413,108,1003,522,21,61,89,167,12,564,110,62,304,216,74,44,125,10,354,36,1300
Kota Cirebon,29926,12000,9131,8795,1088,54,41,4412,243,56,549,277,1171,393,3716,2984,29,23,281,1094,1052,2562,878,227,21,128,0,0,0,26,0,474,43,529,10,460,400,0,0,466,266,0,95,205,326,230,889,775,0,127,87,32,0,47,116,21,23,403,16,30,358,9,227,19,1958
Kota Bekasi,48516,16119,13976,18421,3458,31,105,6582,460,149,288,620,1362,339,2725,4451,93,22,277,1315,1008,3831,2321,658,301,1182,0,0,0,185,206,1834,146,1188,136,771,1848,0,0,1795,315,7,219,660,850,200,1582,850,36,103,214,120,17,291,1158,58,119,232,170,218,101,67,364,31,1148
Kota Depok,43760,15446,12941,15373,2382,34,42,6574,214,291,660,293,1262,289,3405,4071,110,27,157,1897,688,3866,1701,426,129,994,0,0,0,129,162,1623,80,509,74,703,1683,0,0,1426,191,0,224,307,661,407,1194,746,21,31,53,115,4,391,813,47,156,122,303,94,316,66,369,38,1321
Kota Cimahi,35654,15356,10097,10201,2786,67,28,6338,374,283,721,87,1223,699,2750,3877,62,19,155,1403,809,2205,1146,420,31,352,0,0,0,15,23,585,9,200,25,222,2509,0,0,248,86,0,380,219,205,158,878,328,67,26,38,229,5,407,198,40,261,220,45,117,312,19,329,9,1437
Kota Tasikmalaya,25755,10880,8043,6832,1203,20,16,3504,389,24,83,50,1678,225,3688,3292,72,31,84,768,1039,1612,966,179,5,65,0,0,0,0,0,9,16,78,66,1411,1378,0,0,201,2,0,25,3,238,69,186,123,0,0,18,190,4,374,133,21,63,323,22,187,121,1,150,18,1337
Kota Banjar,22268,7381,7984,6903,430,58,1,3004,665,12,125,66,744,190,2086,3579,34,152,129,474,1027,1093,853,643,17,64,0,0,0,0,0,32,5,97,267,2626,504,0,0,335,0,0,157,74,194,219,128,96,0,0,60,350,0,101,87,8,102,301,10,77,197,0,76,11,725
Cilacap,16761,5771,6341,4649,93,28,0,2726,842,34,100,101,702,88,1057,2705,107,97,72,277,655,1564,699,164,72,90,0,0,0,17,3,509,24,307,113,496,78,0,0,442,19,4,117,145,61,628,364,50,42,14,149,96,4,49,48,13,46,283,5,53,88,5,7,10,270
Banyumas,19299,7854,6822,4623,406,15,0,2852,874,35,95,63,932,117,2465,2743,182,64,226,344,1085,1311,654,213,63,122,0,0,0,55,2,170,19,199,43,503,47,0,0,777,7,0,134,94,154,203,197,96,0,12,0,142,5,330,53,19,13,447,4,46,230,30,5,20,445
Purbalingga,15273,5541,6198,3534,322,70,0,2144,761,20,53,57,606,103,1405,2419,99,33,184,279,717,1496,921,50,0,188,0,0,0,12,0,91,11,142,3,156,61,0,0,681,0,2,20,234,200,184,137,36,0,4,5,92,8,383,75,23,12,100,0,50,164,32,28,11,389
Banjarnegara,18019,6612,6306,5101,395,77,12,2820,738,0,9,40,678,190,1653,2798,232,59,175,148,711,1408,679,94,10,213,0,0,0,0,4,48,93,176,73,1047,52,0,0,516,7,0,38,160,74,120,76,82,0,3,17,254,40,396,67,80,33,113,1,10,733,22,0,78,475
Kebumen,15908,5682,6101,4125,241,72,0,2401,599,74,50,68,586,170,1421,2379,115,252,182,213,835,1247,765,114,17,83,0,0,0,17,0,244,26,244,154,76,171,0,0,974,51,0,71,97,109,456,115,51,0,3,5,101,5,82,137,1,0,133,0,6,261,10,8,20,414
Purworejo,14761,4710,5924,4127,247,37,15,1560,787,74,172,32,248,141,1397,2171,128,349,88,210,890,1593,383,111,0,151,0,0,0,0,27,68,7,254,204,36,289,0,0,908,0,0,115,126,168,227,180,69,0,10,29,125,5,100,69,8,12,89,8,6,387,16,0,23,411
Wonosobo,17063,6959,6198,3906,470,32,0,2436,443,26,47,67,582,219,2637,2627,126,116,98,170,897,1294,745,127,0,25,0,0,0,0,0,0,5,14,3,456,319,0,0,348,0,0,12,28,17,129,63,13,0,0,0,278,8,352,101,10,28,86,0,0,1074,32,21,25,459
Magelang,16522,6169,6421,3932,405,24,0,2276,406,61,143,71,511,232,2040,2148,178,135,112,209,720,1716,1020,183,0,29,0,0,0,7,0,4,18,129,10,81,246,0,0,795,33,0,37,138,33,80,150,62,24,4,42,163,7,206,82,30,20,219,4,6,317,43,0,36,877
Boyolali,16934,5952,7106,3876,364,0,0,2775,372,4,63,34,296,184,1860,2763,184,15,60,213,755,1512,1480,124,16,60,0,0,0,0,0,9,3,224,6,117,103,0,0,883,317,0,95,20,0,33,48,26,28,6,0,108,8,229,176,10,6,694,6,1,118,10,9,7,516
Klaten,18277,7380,6668,4229,308,0,0,3645,623,0,39,22,514,211,2018,3042,282,154,86,273,776,1188,703,164,0,172,0,0,0,24,26,11,30,299,7,37,335,0,0,1104,59,0,172,60,37,37,163,59,0,12,0,52,20,159,116,18,8,469,13,9,79,18,0,30,594
Sukoharjo,21201,8249,7583,5369,526,0,14,3973,538,88,15,154,514,153,2274,2941,277,134,111,197,741,1798,1196,188,15,59,0,0,0,41,2,20,27,494,30,94,558,0,0,1259,278,35,237,34,10,57,138,77,0,15,0,96,69,109,101,15,5,774,0,13,119,46,4,8,545
Wonogiri,15852,5717,6182,3953,439,8,0,2622,684,0,25,11,350,120,1458,2677,207,8,45,50,455,1621,1036,82,2,206,0,0,0,3,12,7,32,254,14,78,855,0,0,763,10,0,30,0,0,68,32,26,7,0,4,31,5,249,96,30,3,463,2,10,123,16,0,4,520
Karanganyar,20296,7213,8302,4781,568,0,32,4106,423,3,45,46,385,110,1495,2796,246,39,72,157,666,2294,1881,150,2,136,0,0,0,2,6,0,25,511,12,27,301,0,0,1313,348,1,152,0,5,21,60,35,0,0,9,89,4,158,130,40,12,851,9,13,49,31,0,24,407
Sragen,16809,5519,6531,4759,342,1,0,2458,918,4,9,0,448,140,1199,2848,373,58,94,99,637,1843,368,211,46,172,0,0,0,8,0,25,20,549,1,107,300,0,0,1296,39,3,215,14,65,56,27,28,0,1,12,70,2,275,128,90,20,854,5,3,43,54,0,14,263
Grobogan,14881,5176,5279,4426,339,29,0,2182,527,8,28,96,1047,78,842,2685,108,7,60,179,789,687,624,140,0,41,0,0,0,3,4,80,24,455,87,48,159,0,0,1548,31,0,22,75,41,119,60,75,53,6,62,277,16,237,89,21,9,115,3,4,378,7,0,5,272
Blora,15958,7421,4429,4108,964,38,0,1674,1665,47,12,55,1053,243,1670,2308,203,13,77,282,339,660,403,143,10,86,0,0,0,9,0,39,26,450,1,18,114,0,0,904,96,10,63,33,62,68,162,90,11,20,47,159,8,350,175,134,5,40,0,11,598,6,0,32,281
Rembang,17471,5815,4197,7459,423,88,0,1602,724,32,11,27,1151,218,1539,2163,96,133,47,106,308,872,457,14,155,406,0,0,0,54,228,424,110,806,13,64,33,0,0,363,143,0,52,4,18,900,343,611,39,23,57,227,10,164,105,256,17,4,0,0,1215,1,0,43,726
Pati,24582,6848,5647,12087,1030,188,20,2433,552,27,2,80,955,263,1298,2544,48,10,118,193,604,1116,970,44,174,205,0,0,0,54,72,534,117,2490,33,861,403,0,0,1450,71,12,216,103,76,314,1603,303,141,121,39,208,23,207,90,28,0,78,3,73,583,2,3,15,1556
Kudus,21190,6168,6552,8470,296,9,0,2072,280,236,160,78,865,159,2013,2203,37,37,159,323,688,1637,1404,62,131,97,0,0,0,19,2,101,126,1178,142,368,503,0,0,1568,29,0,60,103,47,211,647,483,54,40,27,154,5,197,71,3,0,47,0,24,296,0,3,12,1853
Jepara,19553,4810,5192,9551,286,0,7,2262,277,7,0,42,702,115,1112,2932,31,10,90,115,713,891,341,69,106,808,0,0,0,105,127,1182,209,999,58,265,47,0,0,526,30,5,4,129,33,1106,707,752,226,42,24,132,5,330,173,29,4,14,0,0,93,0,2,1,1384
Demak,23022,7156,6259,9607,347,60,2,3672,189,256,30,13,1128,230,1229,2925,80,11,87,159,1037,805,1071,84,16,164,0,0,0,51,15,419,109,1160,250,450,314,0,0,1788,60,14,190,396,89,461,708,341,120,63,25,162,17,381,196,33,2,82,7,0,653,5,0,27,855
Semarang,21563,7519,8258,5786,1030,48,0,3202,598,13,83,92,629,237,1587,2915,189,98,123,184,867,2385,1324,172,11,66,0,0,0,32,4,67,35,282,19,832,257,0,0,1150,22,0,23,208,147,77,314,150,0,7,68,284,0,101,162,32,9,469,0,5,404,14,1,41,504
Temanggung,12194,3737,5147,3310,245,125,19,1303,416,26,7,15,581,71,929,2331,156,48,20,89,634,1032,778,57,1,91,0,0,0,54,0,48,6,74,25,69,417,0,0,583,8,1,0,50,0,160,79,113,38,20,21,18,5,369,79,67,59,60,8,1,509,23,0,36,219
Kendal,22067,7652,6715,7700,430,5,14,3436,666,48,36,40,1280,151,1546,2695,177,93,67,245,887,1330,1126,96,3,215,0,0,0,127,94,97,80,1086,88,410,61,0,0,738,42,3,81,323,113,436,578,594,18,19,1,53,15,218,213,52,8,74,0,8,370,0,1,49,1435
Batang,19422,6718,4550,8154,283,1,0,2739,506,22,14,74,840,153,2086,2148,91,22,34,41,826,657,712,19,85,207,0,0,0,8,6,144,29,576,7,350,195,0,0,810,23,3,0,426,56,171,349,494,42,18,6,354,32,485,193,88,18,10,10,1,912,7,0,11,2113
Pekalongan,20295,7569,6095,6631,685,10,0,2796,140,49,49,137,1364,91,2248,2849,29,21,181,233,729,783,1142,128,49,121,0,0,0,5,8,61,17,605,30,148,30,0,0,784,68,0,33,298,25,65,248,194,11,7,31,187,62,448,156,180,8,45,10,0,832,10,11,32,1861
Pemalang,18572,6109,5510,6953,289,60,0,2747,323,18,9,43,871,136,1613,2431,57,53,144,235,699,1058,735,97,56,228,0,0,0,96,76,397,84,439,8,171,18,0,0,577,33,0,42,417,35,195,264,630,44,12,27,96,168,346,118,143,17,110,17,9,323,5,15,19,1774
Tegal,16503,6052,5085,5366,235,29,0,2719,467,18,58,33,878,169,1446,2247,73,17,118,303,589,1113,450,173,20,161,0,0,0,50,11,409,76,482,19,248,36,0,0,379,119,0,16,142,16,157,192,254,30,35,0,461,25,325,65,24,41,88,7,31,308,2,5,14,1138
Brebes,15991,5632,4877,5482,169,37,0,2349,560,11,0,69,870,95,1472,2449,107,13,79,217,657,833,399,122,3,124,0,0,0,1,23,246,30,724,31,363,8,0,0,485,26,0,24,74,24,394,285,369,23,52,14,183,1,55,113,28,11,127,0,11,257,5,10,29,1332
Kota Magelang,25725,9676,9746,6303,998,34,7,2929,672,40,156,228,648,161,3803,1985,339,236,124,995,599,2908,1779,780,0,166,0,0,0,35,0,36,6,300,13,67,621,0,0,1008,51,0,40,77,194,244,595,281,0,16,0,11,7,222,61,43,20,334,11,18,478,26,0,5,1317
Kota Surakarta,26828,12915,8176,5737,954,36,90,3810,336,122,250,74,1248,353,5642,2655,111,63,171,520,393,2378,1377,507,0,96,0,0,0,16,0,43,43,316,4,39,162,0,0,799,374,39,144,74,108,163,189,92,0,29,4,7,2,158,74,18,0,630,24,29,143,7,0,14,1897
Kota Salatiga,32225,13425,10727,8073,974,0,118,4014,720,86,921,217,1069,149,5157,3116,222,81,200,1191,635,3609,1135,539,0,49,0,0,0,9,0,47,25,317,13,1371,177,0,0,1056,198,0,65,79,144,132,372,189,0,13,0,255,0,90,115,8,7,1044,25,12,375,4,0,43,1839
Kota Semarang,33370,11827,10415,11128,1220,39,69,4435,319,157,638,185,780,286,3699,3222,151,26,233,689,672,2474,2271,675,91,161,0,0,0,24,28,175,44,951,76,723,477,0,0,1141,358,0,143,386,541,366,1027,952,24,75,174,107,0,203,117,31,7,508,9,59,578,24,8,100,1531
Kota Pekalongan,24369,10004,6041,8324,817,244,0,3468,484,0,38,315,1520,129,2989,2664,104,30,296,220,547,1140,851,190,158,408,0,0,0,150,44,499,49,1043,11,384,151,0,0,425,162,9,7,87,71,289,490,814,0,90,79,74,74,324,83,174,2,16,0,16,135,8,24,10,2122
Kota Tegal,20098,7078,6472,6548,359,14,25,2524,174,24,202,19,985,242,2510,2368,46,6,96,584,573,1697,882,219,9,258,0,0,0,112,29,841,53,422,19,258,14,0,0,360,211,0,1,84,13,323,442,667,87,26,8,92,0,220,22,19,9,83,0,38,255,6,0,0,1576
Kulon Progo,18439,7692,6057,4690,270,0,0,2757,785,49,83,9,266,109,3364,2905,156,95,69,244,655,1239,530,164,11,407,0,0,0,5,0,142,8,126,188,0,215,0,0,907,18,0,63,93,34,299,180,29,0,0,0,276,0,59,87,6,0,103,0,11,27,14,0,18,1375
Bantul,27753,11587,9500,6666,842,90,0,3073,663,180,376,62,741,231,5329,2957,212,191,181,481,796,3886,656,139,0,296,0,0,0,67,2,72,33,100,66,5,349,0,0,986,18,0,104,190,82,203,408,124,0,13,0,49,0,215,117,0,0,286,1,11,96,0,0,3,2770
Gunung Kidul,19628,7685,5933,6010,394,115,0,2495,845,52,50,32,448,214,3040,2513,228,33,38,209,640,1770,421,81,42,586,0,0,0,8,7,136,133,218,0,71,385,0,0,927,68,0,167,151,37,324,216,62,33,2,7,85,1,223,70,35,0,354,9,7,357,57,1,29,1244
Sleman,35688,14450,10636,10602,1548,100,0,3934,978,148,145,73,835,290,6399,3221,234,81,244,1509,864,3070,1232,182,0,361,0,0,0,172,13,269,48,178,40,27,1275,0,0,1228,107,37,59,86,208,102,623,306,90,61,73,656,0,88,206,6,0,527,3,6,68,10,0,40,3629
Kota Yogyakarta,35543,16747,9214,9582,1173,34,0,3770,598,138,255,233,908,322,9316,3049,251,78,247,927,638,2676,1063,286,132,470,0,0,0,64,16,136,51,213,0,19,979,0,0,1309,95,0,252,120,241,85,424,162,45,0,24,31,0,254,161,11,0,508,0,96,56,10,18,0,3732
Pacitan,17254,4390,6979,5885,503,143,6,2137,864,54,86,12,147,37,401,2778,208,31,41,113,459,1465,1854,30,46,748,0,0,0,98,11,1387,214,52,8,18,131,0,0,311,16,32,5,67,5,1345,327,90,13,0,0,2,2,118,213,4,21,49,0,2,151,26,0,8,411
Ponorogo,15378,4944,6870,3564,160,117,0,1666,862,150,0,10,424,108,1447,2702,242,4,67,113,561,2320,730,132,7,618,0,0,0,38,0,47,23,284,1,2,74,0,0,923,6,5,278,11,14,78,107,14,0,0,5,17,2,484,206,11,22,14,3,0,13,7,0,2,255
Trenggalek,14738,3699,4917,6122,305,100,0,1436,614,37,0,13,267,119,808,2007,132,12,64,131,222,1634,636,80,37,918,0,0,0,11,16,134,535,165,3,77,36,0,0,578,0,5,43,5,11,1659,137,96,28,13,8,28,28,592,325,26,2,20,1,0,220,11,34,29,328
Tulungagung,18188,5375,6967,5846,472,10,0,2419,198,14,0,39,583,238,1402,2673,118,15,65,97,472,2238,1198,91,33,761,0,0,0,9,25,67,229,265,4,5,101,0,0,1713,20,30,204,24,261,458,117,70,0,13,8,36,24,325,160,18,5,13,4,9,310,23,0,29,506
Blitar,14125,4790,5807,3528,497,146,0,1778,559,93,6,19,416,271,1005,1860,118,73,86,180,422,2094,751,223,0,254,0,0,0,0,0,13,15,215,1,80,167,0,0,768,13,0,248,9,162,148,64,15,0,27,1,65,7,543,101,17,20,32,2,5,185,75,0,24,252
Kediri,14537,4999,5500,4038,659,0,0,2316,441,37,1,101,495,181,768,2277,235,15,134,205,321,957,1124,233,0,65,0,0,0,0,0,37,19,370,1,74,151,0,0,1449,7,0,156,41,94,61,79,19,0,4,0,90,0,67,76,15,43,27,3,15,721,55,0,105,194
Malang,17219,5863,6615,4741,1256,40,7,2365,315,34,7,34,441,171,1193,2540,171,59,120,395,441,1510,1205,174,34,352,0,0,0,18,30,24,31,321,4,780,52,0,0,714,18,0,60,0,109,29,270,55,53,7,25,91,15,595,65,150,15,101,18,17,305,3,3,45,366
Lumajang,18006,5253,4391,8362,1445,23,0,1628,737,0,0,30,469,248,673,2279,172,88,90,90,407,512,604,150,338,1182,0,0,0,24,0,218,380,455,115,1122,299,0,0,903,25,3,37,9,252,90,523,201,8,70,29,106,61,1124,286,12,17,9,4,0,260,20,34,54,430
Jember,15819,5187,4860,5772,744,3,0,2059,295,0,0,61,881,274,870,2406,141,47,48,206,227,556,1113,116,306,943,0,0,0,31,6,107,90,121,38,80,190,0,0,714,72,0,3,11,152,185,377,321,20,38,100,95,9,1170,292,48,5,1,1,11,207,62,21,33,218
Banyuwangi,17456,5186,5688,6582,443,1,3,1715,535,83,37,46,624,236,1463,2048,133,142,55,373,256,1227,1357,98,37,1224,0,0,0,140,81,499,169,4,0,23,56,0,0,397,45,7,14,15,16,1393,502,527,5,68,59,201,4,244,106,32,22,0,12,8,217,33,12,11,436
Bondowoso,13909,3784,3884,6241,644,8,0,1728,289,16,3,0,591,183,322,2320,169,41,54,160,174,640,312,13,414,697,0,0,0,48,18,13,108,31,4,0,187,0,0,235,12,30,1,13,29,274,318,125,3,0,3,1,10,2330,577,137,4,0,1,20,650,79,27,57,199
Situbondo,18807,5420,4915,8472,1142,52,0,1996,315,1,0,7,931,156,820,2197,332,101,65,109,277,972,803,59,379,1701,0,0,0,26,184,125,375,33,13,144,79,0,0,272,212,0,4,6,46,1972,699,738,56,56,28,129,7,53,355,47,16,9,28,16,156,11,9,7,860
Probolinggo,14660,4024,4184,6452,706,9,0,1538,186,15,0,10,963,213,384,1902,265,17,54,133,267,379,1131,38,423,1770,0,0,0,10,135,553,227,80,19,98,61,0,0,192,29,3,0,1,44,832,512,593,114,81,47,51,7,131,181,44,13,0,0,0,240,6,0,26,352
Pasuruan,20026,6305,6105,7616,1028,49,0,2796,237,1,36,156,998,156,848,2824,202,11,152,237,453,659,1359,208,86,533,0,0,0,14,4,192,241,791,4,1343,65,0,0,541,59,1,44,8,55,81,699,288,157,112,171,69,7,835,119,38,34,10,2,8,330,75,8,56,622
Sidoarjo,37224,12671,10988,13565,3767,0,0,4004,429,100,216,291,1071,181,2612,3054,168,11,228,576,655,3593,2367,336,39,761,0,0,0,44,3,142,139,1733,27,2485,427,0,0,1564,107,35,282,50,448,182,1800,484,212,212,163,62,2,439,110,30,20,47,8,70,160,31,31,3,1252
Mojokerto,25502,8683,7871,8948,2382,10,0,3029,503,57,0,263,1009,453,977,2620,235,26,156,394,599,1804,1943,94,28,291,0,0,0,15,0,22,81,1403,62,1665,268,0,0,1400,15,4,169,15,251,81,1036,53,98,87,320,55,4,355,75,40,123,1,11,9,259,49,4,39,588
Jombang,20621,7397,7030,6194,1455,12,8,1879,676,93,45,179,966,234,1850,2190,262,26,127,523,414,1967,1159,363,44,285,0,0,0,14,2,9,29,556,14,550,64,0,0,980,29,4,269,7,239,200,535,44,109,18,40,16,4,422,94,155,89,45,32,15,264,14,0,22,1025
Nganjuk,15199,4777,6176,4246,477,0,0,2167,534,9,11,25,517,114,923,2388,258,23,108,182,281,1341,1548,46,0,209,0,0,0,0,0,13,73,308,7,38,67,0,0,1446,7,0,76,5,92,10,288,67,11,0,0,88,14,440,251,114,35,29,4,22,79,62,0,0,391
Madiun,16463,5336,6483,4644,297,14,42,2716,361,54,48,12,503,127,1162,2710,284,6,59,297,541,1306,1128,152,13,296,0,0,0,72,0,5,30,476,3,22,288,0,0,1449,39,0,113,21,222,53,82,24,0,0,14,39,44,513,165,46,20,66,20,7,57,3,0,28,427
Magetan,19642,7100,8017,4525,656,33,0,3289,483,25,16,21,646,184,1747,2836,457,28,131,244,496,2588,1174,62,0,472,0,0,0,3,0,51,25,499,8,27,258,0,0,1357,14,0,104,10,69,69,120,52,0,0,8,23,5,510,125,62,38,106,21,19,176,15,0,0,279
Ngawi,17468,5748,6687,5033,190,10,17,2312,1050,5,0,0,432,248,1484,2904,425,46,92,214,463,1516,878,147,8,117,0,0,0,0,23,11,12,334,123,8,126,0,0,1491,15,6,310,7,179,77,93,52,19,2,11,91,0,318,257,141,21,805,5,0,55,4,0,2,318
Bojonegoro,16739,6272,4872,5595,833,39,4,2164,1197,18,0,146,820,252,799,2329,169,38,78,261,353,696,940,8,14,90,0,0,0,9,0,8,27,412,46,248,151,0,0,1638,20,0,143,23,115,86,237,99,6,13,0,158,77,444,231,130,5,4,10,4,734,1,0,8,418
Tuban,20718,6381,4970,9367,849,24,16,2328,626,28,40,46,1227,275,922,2372,74,13,33,158,326,918,1012,64,563,623,0,0,0,62,219,198,30,632,249,336,160,0,0,1067,51,11,139,18,94,534,484,753,51,31,50,61,110,944,181,501,54,12,2,12,1018,9,16,50,605
Lamongan,22390,6671,5657,10062,840,10,0,3191,241,4,8,46,1126,260,945,2639,302,12,84,267,532,838,892,92,190,595,0,0,0,60,35,280,70,1799,284,1948,200,0,0,664,8,3,73,31,25,436,1165,409,123,66,124,135,17,343,69,11,19,63,0,3,404,0,0,58,542
Gresik,27811,9375,7094,11342,2013,12,13,4238,223,61,12,51,1258,309,1185,2535,74,0,71,258,523,1630,1874,129,31,268,0,0,0,21,58,101,61,2239,260,1919,134,0,0,799,66,11,260,96,187,366,1551,385,251,191,73,123,12,776,89,19,12,23,1,10,284,48,0,7,641
Bangkalan,20182,6109,4659,9414,1754,10,19,2837,321,15,12,133,679,128,201,2216,160,50,67,142,249,487,1268,21,292,1671,0,0,0,208,20,673,314,860,58,642,103,0,0,763,94,0,8,60,109,332,846,596,171,164,24,149,47,286,197,94,3,103,0,34,512,15,0,97,161
Sampang,18236,3417,3671,11148,793,6,0,1523,205,14,0,91,505,152,128,2080,221,22,35,178,312,536,285,1,151,1667,0,0,0,139,295,853,490,537,11,290,4,0,0,179,38,29,0,70,60,1855,466,928,127,27,58,142,32,1912,117,97,10,91,0,3,505,0,13,50,53
Pamekasan,18889,5959,3811,9119,1983,95,0,1665,351,22,0,107,1104,157,475,1832,444,23,21,148,331,390,616,5,448,2105,0,0,0,147,311,495,792,59,1,28,1,0,0,235,75,9,47,122,28,1183,216,957,18,1,28,61,97,1632,112,12,0,0,0,0,159,0,1,16,171
Sumenep,28451,6966,7398,14087,1468,26,3,2387,738,5,1,100,658,210,1370,2358,1200,32,61,338,572,753,1967,116,531,2303,0,0,0,426,403,822,774,583,4,217,9,0,0,167,263,799,57,92,20,1026,741,1527,239,88,168,208,10,1602,246,42,14,5,0,1,345,18,28,43,797
Kota Kediri,21466,8692,7926,4848,1052,23,57,3935,304,19,82,119,719,171,2211,2526,154,0,87,658,451,2629,1275,146,20,237,0,0,0,66,0,26,29,298,11,31,139,0,0,1905,8,0,165,35,100,23,204,142,41,7,46,30,5,237,12,27,11,80,0,17,360,8,11,51,486
Kota Blitar,22936,8031,9520,5385,1198,10,35,2926,289,0,66,64,731,283,2429,2336,124,17,104,636,459,4334,1417,92,9,201,0,0,0,0,3,54,3,179,6,47,336,0,0,1152,25,0,379,34,325,0,601,96,0,0,0,156,14,648,40,0,5,3,0,6,91,7,0,10,964
Kota Malang,30857,12221,9383,9253,2388,0,68,3811,647,40,197,126,740,199,4005,2884,173,67,237,1003,381,2302,1757,578,60,612,0,0,0,57,16,127,167,547,9,889,182,0,0,1293,66,0,139,129,453,158,1184,355,116,59,60,15,5,531,86,0,2,75,0,73,351,5,0,11,1481
Kota Probolinggo,23724,6345,6838,10541,1252,41,0,2707,200,0,67,65,705,196,1112,2414,203,11,154,446,392,1401,1593,224,226,1003,0,0,0,70,126,913,328,353,12,240,121,0,0,630,97,0,12,69,320,651,1116,1506,113,123,31,72,4,1140,83,31,2,23,0,8,272,5,0,10,1057
Kota Pasuruan,27714,8930,7625,11159,1667,57,25,3695,174,0,25,240,1143,225,1679,2721,84,0,97,365,287,1806,2073,191,158,888,0,0,0,25,68,686,244,910,35,1542,94,0,0,539,140,4,57,21,119,358,1142,797,177,246,143,144,5,763,78,65,11,31,3,14,314,8,6,14,1468
