Kabupaten/Kota,TOTAL,DAGING,TELUR DAN SUSU,IKAN,Daging_sapi,"Daging_kambing,_domba/biri-biri",Daging_babi,Daging_ayam_ras,Daging_ayam_kampung,Daging_segar_lainnya,Daging_diawetkan_lainnya,"Tetelan,_sandung_lamur",Daging_olahan_matang,"Lainnya_(_hati,_jeroan,_iga,_kaki,_buntut,_kepala,_dsb)",Ayam_matang,Telur_ayam_ras,Telur_ayam_kampung,Telur_itik/telur_itik_manila,"Telur_lainnya_(telur_puyuh,_telur_asin_mentah_maupun_matang,_telur_penyu,_telur_angsa,_dsb)",Susu_cair_pabrik,Susu_kental_manis,Susu_bubuk,Susu_bubuk_bayi,Susu_lainnya_dan_hasil_lain_dari_susu,Ekor_kuning,Tongkol_tuna_cakalang_dencis_ikan_kayu,Tongkol,Tuna,"Cakalang,dencis",Tenggiri,Selar,"Kembung,_lema/tatare,_banyar/banyara",Teri,Bandeng,Gabus,Mujair,"Mas,_nila",Mas,Nila,Lele,Kakap,Baronang,Patin,Bawal,Gurame,Ikan_segar/basah_lainnya,"Udang,_lobster","Cumi-cumi,_sotong,_gurita","Ketam,_kepiting,_rajungan","Kerang,_siput,_bekicot,_remis",Udang_dan_hewan_air_lainnya_yang_segar_lainnya,Kembung_diawetkan/peda,Tenggiri_diawetkan,Tongkol/tuna/cakalang_diawetkan,Teri_diawetkan,Selar_diawetkan,Sepat_diawetkan,Bandeng_diawetkan,Gabus_diawetkan,"Ikan_dalam_kaleng_(sardencis,_tuna_dalam_kaleng,_dsb)",Ikan_diawetkan_lainnya,"Udang_diawetkan_(ebi,_rebon)","Cumi-cumi,_sotong,_gurita_diawetkan",ang_dan_hewan_air_lainnya_yang_diawetkan,Ikan_matang
Raja Ampat,29595,4941,6727,17927,32,0,1756,1514,400,290,18,4,41,0,886,2875,109,24,4,62,1457,708,1329,159,1293,4659,0,0,0,766,608,1539,1051,64,20,58,20,0,0,141,2960,739,24,1149,24,916,222,740,155,63,13,22,156,274,43,4,0,32,0,149,173,0,43,13,1087
Tambrauw,16484,6458,3389,6637,78,25,2864,1747,568,1055,100,0,11,0,10,1442,266,9,0,0,1103,276,294,0,1388,2343,0,0,0,223,27,383,81,0,595,203,90,0,0,601,186,74,0,13,51,1132,26,16,0,0,0,0,0,138,64,0,0,0,11,370,0,0,0,0,10
Maybrat,41740,17634,5690,18416,167,0,9814,3729,432,2901,131,0,128,0,332,3618,60,0,0,32,784,323,871,0,1084,1215,0,0,0,289,1,1641,119,86,1894,2148,6972,0,0,387,11,0,13,91,0,1675,480,22,72,1,63,0,0,31,79,0,0,0,0,184,0,0,0,48,894
Manokwari Selatan,30875,7005,6714,17156,410,0,2445,2417,912,549,15,0,230,0,27,2791,73,117,0,235,939,1394,1159,6,829,5814,0,0,0,435,109,2331,206,203,205,1471,23,0,0,215,1494,126,0,17,0,1719,117,1726,57,16,91,6,8,33,139,189,0,0,16,254,45,0,0,15,76
Pegunungan Arfak,12491,6407,2296,3788,0,0,3088,2110,575,266,368,0,0,0,0,1191,151,0,141,4,725,37,47,0,148,99,0,0,0,0,0,0,0,0,0,1515,1201,0,0,7,0,0,0,0,0,91,0,181,0,0,0,0,0,0,16,0,0,4,0,674,0,0,0,0,0
Kota Sorong,36006,6091,11034,18881,160,0,651,2802,213,0,22,0,74,13,2156,3814,25,16,56,141,775,2855,3221,132,2209,4766,0,0,0,220,356,4347,1687,112,210,160,56,0,0,34,1160,123,0,23,34,2413,450,307,196,27,58,9,52,267,174,4,0,0,0,29,197,0,5,0,1405
Merauke,43859,13277,10192,20390,622,16,1775,3183,2377,3341,144,77,384,289,1069,3456,304,179,42,245,936,1957,2945,128,145,335,0,0,0,56,12,2589,52,1146,797,5084,165,0,0,97,2232,9,44,71,48,3054,2573,146,157,49,0,7,0,14,53,0,27,13,83,198,476,113,0,53,637
Jayawijaya,22663,8506,7570,6587,308,0,289,7429,0,46,121,0,0,233,80,5930,124,0,0,81,1097,200,125,12,1755,64,0,0,0,0,0,2976,0,36,0,1554,218,0,0,282,0,0,0,0,0,0,454,37,0,0,0,34,0,0,33,0,0,27,0,839,0,1,0,0,32
Jayapura,32080,8790,9319,13971,349,17,2414,4644,126,140,79,0,202,1,818,4255,104,18,38,187,1359,1385,1861,111,2982,2424,0,0,0,205,0,2854,165,52,1161,2468,591,0,0,650,229,12,0,0,117,1492,274,134,16,0,0,71,4,125,337,3,0,0,11,193,232,2,0,0,149
Nabire,43165,16764,9587,16814,2521,0,4981,5353,2914,211,49,66,153,62,454,3729,219,25,56,36,892,2130,2088,412,5104,4441,0,0,0,827,73,4414,400,621,596,852,877,0,0,828,222,7,67,67,107,124,151,554,99,32,0,160,135,123,95,16,0,38,0,160,44,12,0,0,672
Kepulauan Yapen,35650,5588,5221,24841,364,0,1584,2494,161,372,142,0,38,70,363,2278,81,4,0,16,1092,849,881,19,1486,5838,0,0,0,2942,2273,5099,642,371,7,30,83,0,0,3,949,579,12,52,10,1784,238,1043,193,282,48,0,38,1075,45,15,0,18,0,133,565,0,88,14,372
Biak Numfor,25717,4480,6268,14969,841,0,1036,1960,252,113,0,1,129,0,148,2157,180,8,38,120,913,1600,1238,13,1997,6120,0,0,0,81,261,325,335,128,0,33,0,0,0,123,857,1356,5,0,26,3860,289,422,19,155,1,0,0,0,2,0,40,0,12,163,61,0,12,0,283
Paniai,38132,9589,5569,22974,329,0,191,8387,0,0,0,0,0,0,682,3372,18,0,0,7,1870,109,191,0,0,0,0,0,0,27,0,27,0,191,193,14914,4587,0,0,0,0,0,0,0,0,0,2818,0,0,0,0,0,0,0,0,0,0,0,0,217,0,0,0,0,0
Puncak Jaya,36347,21621,7916,6810,346,0,12300,5561,3414,0,0,0,0,0,0,4239,654,0,0,75,2170,678,98,0,733,73,0,0,0,0,0,44,1135,48,0,3847,252,0,0,435,0,0,0,0,0,26,111,0,0,0,0,0,0,0,0,0,0,0,0,807,32,0,0,0,0
Mimika,42248,11401,8705,22142,628,0,1422,6889,632,24,0,0,220,116,1470,4015,117,0,86,294,627,2150,1348,68,1629,3672,0,0,0,213,232,5430,317,1203,301,1528,56,0,0,371,2279,99,36,621,88,1742,1387,508,660,17,91,64,39,37,192,5,7,0,0,189,27,5,0,0,726
Boven Digoel,43476,13405,8781,21290,936,0,4393,4639,878,793,63,0,178,57,1468,3747,512,31,4,38,1432,1328,1655,34,18,1495,0,0,0,16,0,2403,144,1068,2418,4401,526,0,0,593,2079,12,12,12,1701,694,861,359,5,3,17,18,0,74,194,0,2,22,190,759,85,0,10,0,1117
Mappi,27634,9021,3138,15475,127,0,3879,1206,489,3101,18,0,0,0,201,1402,174,0,8,0,492,168,894,0,22,512,0,0,0,32,128,689,26,645,3856,2245,338,0,0,943,713,0,0,25,1173,3612,203,0,0,0,0,0,0,0,1,0,0,0,14,224,45,0,0,0,51
Asmat,23528,4020,4926,14582,90,74,1436,1380,230,460,59,0,63,0,228,1965,21,0,2,61,579,1160,1139,0,292,336,0,0,0,0,24,521,58,1214,1720,555,57,0,0,756,3078,44,31,221,257,4047,871,58,105,115,36,0,0,0,0,0,0,29,0,236,213,0,0,0,0
Yahukimo,21316,16241,2407,2668,0,0,8202,2121,5543,268,0,0,0,0,107,516,424,0,0,23,0,1295,148,0,480,744,0,0,0,0,0,0,19,1087,0,714,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,71
Pegunungan Bintang,48859,17030,9744,22085,554,0,6567,8575,728,27,0,0,43,98,438,4112,410,2,0,999,2268,720,1234,0,1317,1985,0,0,0,300,280,2412,626,344,0,5773,4895,0,0,2529,20,293,0,0,90,0,0,0,0,0,0,0,0,37,160,0,0,0,0,2210,0,0,0,0,131
Tolikara,32304,25087,4607,2610,27,145,14463,3845,5429,226,698,0,0,0,254,1086,1223,0,0,67,1723,129,378,0,427,0,0,0,0,0,0,60,0,63,0,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,73,0,0,0,0,0,1920,12,0,0,0,57
Sarmi,34885,10186,7570,17129,405,60,3437,3471,816,698,72,0,190,6,1031,3256,21,0,21,12,832,1905,1433,90,3697,3772,0,0,0,1020,68,2540,262,216,440,888,21,0,0,188,950,43,0,0,49,2213,1012,227,195,13,0,89,242,291,139,8,2,11,0,422,68,0,21,0,1719
Keerom,29010,8647,7451,12912,1024,0,1751,4102,599,517,115,0,47,18,474,3650,93,1,0,267,868,946,1569,56,3127,2635,0,0,0,6,24,3106,64,147,662,3905,231,0,0,292,161,0,21,0,107,358,0,25,0,0,104,248,51,51,144,0,0,5,0,379,37,0,0,0,149
Waropen,50001,9043,6384,34574,884,10,2696,3549,945,54,4,0,8,0,893,3029,105,8,0,75,1544,871,752,0,2227,9255,0,0,0,3018,419,6683,113,494,992,817,64,0,0,2700,1012,307,0,0,0,1139,3709,148,1726,959,17,39,0,0,2,0,0,0,0,263,0,77,0,0,621
Supiori,33338,4009,4993,24336,104,0,2125,1186,428,0,0,0,0,0,166,1896,243,5,23,164,1592,338,672,60,4370,5246,0,0,0,1823,607,443,250,0,0,0,21,0,0,20,3578,4493,22,107,0,5761,43,989,79,238,0,0,0,65,41,0,0,0,0,61,23,0,18,7,401
Mamberamo Raya,41142,13085,1069,26988,19,232,7695,625,225,3904,0,0,72,0,313,390,244,0,97,19,269,49,0,0,47,1253,0,0,0,0,0,328,0,644,2384,4970,454,0,0,2422,3590,0,0,0,541,3807,1502,0,1448,2104,151,0,0,299,10,0,0,0,0,248,0,81,0,0,752
Nduga,7417,2709,3124,1584,16,169,2043,481,0,0,0,0,0,0,0,1952,1143,0,0,0,29,0,0,0,114,122,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1342,12,0,0,0,0
Lanny Jaya,9440,2750,2998,3692,0,0,0,2750,0,0,0,0,0,0,0,2002,74,0,0,0,872,0,50,0,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3672,0,0,0,0,0
Mamberamo Tengah,20641,16032,804,3805,131,58,13285,2304,69,0,0,0,0,0,185,14,0,0,0,8,656,1,56,70,666,283,0,0,0,0,0,910,0,0,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,2115,28,0,43,0,206
Yalimo,24578,17459,3146,3973,79,20,10622,5690,494,467,46,0,0,0,41,1446,994,0,0,0,374,204,127,0,0,0,0,0,0,0,0,37,0,93,78,1831,456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1464,0,0,0,0,14
Puncak,19752,11780,7972,0,4,0,859,10917,0,0,0,0,0,0,0,2442,0,0,0,0,5530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dogiyai,21115,13693,1885,5537,122,0,7959,3306,2117,0,0,0,7,0,182,589,269,42,17,30,754,65,119,0,334,0,0,0,0,50,0,7,7,573,470,766,1827,0,0,308,0,0,0,0,367,0,248,0,0,0,0,0,318,93,0,0,0,35,40,353,0,37,0,0,38
